Date, Time, Amount, Type, Description
2025-09-16,04:42:58,8512.30,Deposit,COINBASE INC. 408DF021
2025-09-15,23:42:50,14.48,Deposit,Interest Paid
2025-09-12,03:30:37,204.95,Deposit,ENTEGRATION INC PAYROLL
2025-09-02,05:59:52,-2160.71,Withdrawal,Overlook at Keys WEB PMTS
2025-08-28,03:20:42,204.95,Deposit,ENTEGRATION INC PAYROLL
